Date,Area,District,Volume_inb_ball,Score_inb_ball,Score_p_1_inb_ball,Score_p_2_inb_ball,Score_p_3_inb_ball,type
2020-10-29,Eastern,Kentuckiana,679,83.51,83.8,87.78,90.28,inbound
2020-10-29,Eastern,Norther Ohio,30000,86.1,98.35,98.45,98.7,inbound
2020-10-29,Eastern,Ohio Valley,25227,95.49,98.06,98.45,98.81,inbound
2020-10-29,Eastern,Philadelphia Metropo,25639,90.92,95.5,96.22,98.51,inbound
2020-10-29,Eastern,South Jersey,21478,95.44,97.15,97.35,98.21,inbound
2020-10-29,Eastern,Tennessee,5076,96.43,97.14,98.07,98.82,inbound
2020-10-29,Eastern,Western New York,14292,96.68,97.93,99.01,99.16,inbound
2020-10-29,Eastern,Western Pennsylvania,27811,97.25,99.16,99.33,99.52,inbound
2020-10-29,Great Lakes,Central Illinois,28470,96.83,97.77,98.38,99.03,inbound
2020-10-29,Great Lakes,Chicago,21520,95.26,96.57,96.74,96.92,inbound
2020-10-29,Great Lakes,Detroit,8005,76.23,91.74,93.53,98.36,inbound
2020-10-29,Great Lakes,Gateway,7865,93.2,95.94,96.33,96.88,inbound
2020-10-29,Great Lakes,Greater Indiana,1502,83.22,87.95,94.21,98.87,inbound
2020-10-29,Great Lakes,Greater Michigan,7122,89.15,95.42,96.69,97.51,inbound
2020-10-29,Great Lakes,Lakeland,2034,93.71,95.62,97.49,98.23,inbound
2020-10-29,Northeast,Albany,15362,96.89,99.18,99.39,99.51,inbound
2020-10-29,Northeast,Caribbean,5004,99.78,99.78,99.82,99.92,inbound
2020-10-29,Northeast,Connecticut Valley,10406,95.49,97.98,98.43,98.78,inbound
2020-10-29,Northeast,Greater Boston,30096,92.46,97.9,98.58,98.84,inbound
2020-10-29,Northeast,Long Island,18104,96.99,98.39,98.87,99,inbound
2020-10-29,Northeast,New York,30152,97.08,98.67,98.81,99.24,inbound
2020-10-29,Northeast,Northern New England,969,80.7,91.43,94.01,98.97,inbound
2020-10-29,Northeast,Northern New Jersey,34718,97.54,98.64,98.72,98.9,inbound
2020-10-29,Northeast,Triboro,12646,92.35,94.03,94.11,94.25,inbound
2020-10-29,Northeast,Westchester,12785,95.92,97.92,98.24,98.62,inbound
2020-10-29,Pacific,Bay-Valley,65845,98.46,98.74,98.94,99.09,inbound
2020-10-29,Pacific,Honolulu,18743,91.47,93.42,94.9,99.64,inbound
2020-10-29,Pacific,Los Angeles,57622,98.35,99,99.08,99.26,inbound
2020-10-29,Pacific,Sacramento,56128,98.56,98.84,98.96,99.03,inbound
2020-10-29,Pacific,San Diego,94525,99.32,99.44,99.62,99.73,inbound
2020-10-29,Pacific,San Francisco,40327,98.87,99.04,99.21,99.39,inbound
2020-10-29,Pacific,Santa Ana,49426,98.58,99.61,99.78,99.85,inbound
2020-10-29,Pacific,Sierra Coastal,41128,98.56,99.04,99.17,99.28,inbound
2020-10-29,Southern,Alabama,863,88.99,90.38,92.93,95.48,inbound
2020-10-29,Southern,Arkansas,991,97.68,98.28,98.89,98.99,inbound
2020-10-29,Southern,Dallas,3395,95.32,95.79,97.73,98.41,inbound
2020-10-29,Southern,Ft. Worth,1617,94.37,95.05,95.3,96.23,inbound
2020-10-29,Southern,Gulf Atlantic,15182,95.8,97.21,98.35,99.26,inbound
2020-10-29,Southern,Houston,8963,96.32,96.89,97.18,97.67,inbound
2020-10-29,Southern,Louisiana,830,92.65,93.37,95.3,97.71,inbound
2020-10-29,Southern,Mississippi,354,93.22,94.07,97.46,98.59,inbound
2020-10-29,Southern,Oklahoma,370,80.27,83.24,88.11,93.24,inbound
2020-10-29,Southern,Rio Grande,3222,94.17,94.91,96.06,97.49,inbound
2020-10-29,Southern,South Florida,6601,96.09,96.74,97.45,98.67,inbound
2020-10-29,Southern,Suncoast,35663,97.94,98.26,98.72,99.09,inbound
2020-10-29,Western,Alaska,3719,83.11,84.57,86.31,95.81,inbound
