Date,Area,District,First_class,Marketing_mail
2020-10-31,Eastern,Western Pennsylvania,88.68,93.34
2020-10-31,Great Lakes,Central Illinois,81.47,84.38
2020-10-31,Great Lakes,Chicago,83.05,86.5
2020-10-31,Great Lakes,Detroit,75.43,57.71
2020-10-31,Great Lakes,Gateway,88.37,86.1
2020-10-31,Great Lakes,Greater Indiana,91.41,91.94
2020-10-31,Great Lakes,Greater Michigan,82.81,79.66
2020-10-31,Great Lakes,Lakeland,87.61,89.61
2020-10-31,Northeast,Albany,90.92,91.4
2020-10-31,Northeast,Caribbean,93.75,98.7
2020-10-31,Northeast,Connecticut Valley,91.39,93.48
2020-10-31,Northeast,Greater Boston,91.41,81.23
2020-10-31,Northeast,Long Island,87.17,89.23
2020-10-31,Northeast,New York,88.22,97.82
2020-10-31,Northeast,Northern New England,89.38,81.7
2020-10-31,Northeast,Northern New Jersey,91.82,94.13
2020-10-31,Northeast,Triboro,90.92,90.61
2020-10-31,Northeast,Westchester,92.69,90.16
2020-10-31,Pacific,Bay-Valley,94.45,97.45
2020-10-31,Pacific,Honolulu,92.41,92.96
2020-10-31,Pacific,Los Angeles,95.43,95.59
2020-10-31,Pacific,Sacramento,92.54,94.27
2020-10-31,Pacific,San Diego,93.69,95.44
2020-10-31,Pacific,San Francisco,93.73,96.19
2020-10-31,Pacific,Santa Ana,91.43,94.98
2020-10-31,Pacific,Sierra Coastal,93.83,97.48
2020-10-31,Southern,Alabama,85.48,78.1
2020-10-31,Southern,Arkansas,87.33,90.64
2020-10-31,Southern,Dallas,84.83,90.01
2020-10-31,Southern,Ft. Worth,90.18,93.69
2020-10-31,Southern,Gulf Atlantic,82.83,70.65
2020-10-31,Southern,Houston,89.76,94.12
2020-10-31,Southern,Louisiana,88.9,80.62
2020-10-31,Southern,Mississippi,76.79,81.67
2020-10-31,Southern,Oklahoma,92.22,94.02
2020-10-31,Southern,Rio Grande,92.07,94.98
2020-10-31,Southern,South Florida,80.36,85.13
2020-10-31,Southern,Suncoast,91.15,87.92
2020-10-31,Western,Alaska,86.57,72.08
2020-10-31,Western,Arizona,91.91,88.76
2020-10-31,Western,Central Plains,88.61,88.73
2020-10-31,Western,Colorado/Wyoming,56.59,62.77
2020-10-31,Western,Dakotas,91.92,89.32
